	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category
2405	cuando ¿LASPE?	between 612 BC y 599 a. C.	when did it laspe?	between 612 BC and 599 BC	83.33	['bc', 'c', 'a', '599', 'y', '612']	2

2406	Where do they suspect the Sumerian language originated ¿de?	that of the hunter and fisher peoples	Where do they suspect the Sumerian language originated from?	that of the hunter and fisher peoples	0.0	[]	0

2407	How does se clasifica entre lo global faiths?	Es the world's religión más grande	How does it rank among the global faiths?	It is the world's largest religion	66.67	['es', 'más', 'religión', 'grande']	1

2408	Qué are 3 de los estados?	Maine, Vermont, Nuevo Hampshire	What are 3 of the states?	Maine, Vermont, New Hampshire	100.0	['hampshire', 'nuevo', 'vermont', 'maine']	2

2409	Por qué did she ask for them?	Para hacer friends with Mrs White	Why did she ask for them?	To make friends with Mrs White	33.33	['para', 'hacer']	0

2410	What lo hizo do después Guerra mundial I?	he entró en el University de Mississippi	What did he do after World War I?	he entered the University of Mississippi	50.0	['de', 'entró', 'el', 'en']	1

2411	how hizo él cerrar la puerta	de doble bloqueo el puerta	how did he lock the door	double-locked the door	100.0	['bloqueo', 'doble', 'el', 'de', 'puerta']	2

2412	How big was it en su best?	él was the largest empire in history	How big was it at its best?	it was the largest empire in history	14.29	['él']	0

2413	Por qué era it invented?	a store and play only grabación sonora	Why was it invented?	to store and play only sound recording	42.86	['grabación', 'sonora', 'a']	1

2414	Que fue asesinado?	Meredith británico Kerche	Who was murdered?	Briton Meredith Kerche	100.0	['kerche', 'meredith', 'británico']	2

2415	What ¿SHEN Hui think is a good experience?	a good experiencia	What does Shen Hui think is a good experience?	a good experience	33.33	['experiencia']	0

2416	What era the organization eso reclutado him?	Stray Cat Asociación de rescate	What was the organization that recruited him?	Stray Cat Rescue Association	50.0	['asociación', 'rescate', 'de']	1

2417	qué era Danny ¿jugando?	esconder y buscar	what was Danny playing?	hide and seek	100.0	['y', 'esconder', 'buscar']	2

2418	What did Lisa ask Jeff?	if he had cualquier children	What did Lisa ask Jeff?	if he had any children	20.0	['cualquier']	0

2419	how did the invasion de Canadá Go?	él was a debacle	how did the invasion of canada go?	it was a debacle	50.0	['debacle', 'él']	1

2420	Dónde eran la mayoría del soldados?	principalmente en the Aldeas	Where were most of the soldiers?	mainly in the Villages	75.0	['aldeas', 'en', 'principalmente']	2

2421	Can anyone use this library?	anyone who can document their qualifications and research needs.	Can anyone use this library?	anyone who can document their qualifications and research needs.	0.0	[]	0

2422	Que iglesia is ser referenced?	The United Iglesia Metodista	what church is being referenced?	The United Methodist Church	50.0	['iglesia', 'metodista']	1

2423	Que es ¿buscado?	Ibrahim Hassan al-Asiri.	Who is wanted?	Ibrahim Hassan al-Asiri.	100.0	['alasiri', 'hassan', 'ibrahim']	2

2424	did he agarrar it?	no he knocked it off	did he grab it?	no he knocked it off	0.0	[]	0

2425	¿Por qué es he disabled?	Nick Vujicic nació sin arms or legs	Why is he disabled?	Nick Vujicic was born with no arms or legs	44.44	['nació', 'sin']	1

2426	Quien fue dirigido al bleachers después de the foul?	Mono Burgos. Él es el entrenador para el Atlético.	Who was directed to the bleachers afterwards of the foul?	Mono Burgos. He is the coach for Atletico.	100.0	['para', 'entrenador', 'mono', 'atlético', 'burgos', 'el', 'es', 'él']	2

2427	What kind of food did they buy?	candies, cake and hielo cream	What kind of food did they buy?	candies, cake and ice cream	20.0	['hielo']	0

2428	What meta was always en su mente?	getting una educación	What goal was always on her mind?	getting an education	66.67	['una', 'educación']	1

2429	Cómo long ha estado presente el idioma español in los unidos estados?	desde el 16 y 17 siglos	How long has the Spanish language been present in the United states?	since the 16th and 17th centuries	100.0	['desde', '17', '16', 'siglos', 'el', 'y']	2

2430	qué was it doing now?	it had formed a dam	what was it doing now?	it had formed a dam	20.0	['a']	0

2431	Como fue Look Pablo when Martin saw ¿a él?	sonriendo y looked muy happy	How did Pablo look when Martin saw him?	smiling and looked very happy	60.0	['sonriendo', 'muy', 'y']	1

2432	Qué período de El tiempo era él ¿allá?	For a largo mientras	What period of time was he there?	For a long while	75.0	['a', 'largo', 'mientras']	2

2433	And qué worried him?	he would no find a pet that would like él mejor que el other pets	And what worried him?	he would not find a pet that would like him better than the other pets	33.33	['no', 'mejor', 'el', 'que', 'él']	0

2434	Qué was the largest ¿territorio?	The Kingdom de Alemania,	What was the largest territory?	The Kingdom of Germany,	50.0	['alemania', 'de']	1

2435	Lo hizo Encuentra el guión himself?	No, su madre encontró out	Did he find the script himself?	No, his mother found out	80.0	['su', 'encontró', 'no', 'madre']	2

2436	What is the dutch name for a ¿Volar?	"The dutch name is ""Waal"""	What is the dutch name for a Walloon?	"The dutch name is ""Waal"""	0.0	[]	0

2437	what lo hizo grab	water and una esponja	what did he grab	water and a sponge	50.0	['una', 'esponja']	1

2438	Cuando terminaron qué hizo la clase elige?	Que foto era el mejor	When they finished, what did the class choose?	which picture was the best	100.0	['foto', 'era', 'mejor', 'el', 'que']	2

2439	Why did he call him?	to cut a record	Why did he call him?	to cut a record	0.0	[]	0

2440	Between ¿Empresas como?	Best Buy y objetivo	Between companies like?	Best Buy and Target	50.0	['y', 'objetivo']	1

2441	Cuando fue oeste ¿nacido?	Junio 8, 1977. Junio 8, 1977	When was West born?	June 8, 1977. June 8, 1977	83.33	['8', 'junio', '1977']	2

2442	How much bigger than it's real size?	two o four times	How much bigger than it's real size?	two or four times	25.0	['o']	0

2443	Cómo many La gente vive there?	casi 10 million	How many people live there?	nearly 10 million	66.67	['10', 'casi']	1

2444	Cuáles son ¿ellos?	ciencia, investigación, educación, industria y infrastructure	What are they?	science, research, education, industry and infrastructure	83.33	['industria', 'educación', 'investigación', 'ciencia', 'y']	2

2445	What are some of the companies major entertainment ¿activos?	HBO, Turner Broadcasting System and The CW	What are some of the companies major entertainment assets?	HBO, Turner Broadcasting System and The CW	0.0	[]	0

2446	What did él ¿Casi olvidar?	to seguir climbing up	What did he almost forget?	to keep on climbing up	40.0	['seguir']	1

2447	Cual la mano era en su pocket?	Su derecha	Which hand was in his pocket?	His right hand	100.0	['derecha', 'su']	2

2448	What hace ICT stand for?	Información and Communications Technology	What does ICT stand for?	Information and Communications Technology	25.0	['información']	0

2449	Es it known como algo ¿demás?	The Ottoman Empire (/ˈɒtəmən/; Ottoman Turkish: دَوْلَتِ عَلِيّهٔ عُثمَانِیّه‎ Devlet-i Aliyye-i Osmâniyye, moderno turco: Osmanlı İmparatorluğu or Osmanlı Devleti), también conocido como el imperio turco,	Is it known as something else?	The Ottoman Empire (/ˈɒtəmən/; Ottoman Turkish: دَوْلَتِ عَلِيّهٔ عُثمَانِیّه‎ Devlet-i Aliyye-i Osmâniyye, Modern Turkish: Osmanlı İmparatorluğu or Osmanlı Devleti), also known as the Turkish Empire,	40.0	['como', 'conocido', 'osmâniyye', 'imperio', 'turco', 'el', 'devleti', 'también', 'moderno']	1

2450	Qué es el oración si encontró ¿culpable?	vida en prisión	What is the sentence if found guilty?	life in prison	100.0	['en', 'prisión', 'vida']	2

2451	what hizo uno of the people from the village learn?	they leaned that there was another American Party in that territory, one enviado por an Eastern college para recopilar especímenes de the flora of central Africa	what did one of the people from the village learn?	they leaned that there was another American Party in that territory, one sent out by an Eastern college to collect specimens of the flora of central Africa	25.93	['para', 'especímenes', 'enviado', 'recopilar', 'por', 'de']	0

2452	Que hizo he hacer with the accessory?	El tomó it to el maestro	What did he do with the accessory?	he took it to the teacher	66.67	['tomó', 'el', 'maestro']	1

2453	What ¿Ella hizo para Sam?	un Cuenta de Instagram	What did she make for Sam?	an Instagram account	100.0	['instagram', 'un', 'de', 'cuenta']	2

2454	who was tortured?	Leno LaBianca and Rosemary Labiña w	who was tortured?	Leno LaBianca and Rosemary LaBianca w	33.33	['w', 'labiña']	0

2455	When gente kept mirando his movies que hizo rojo do?	opened otro movie almacenar	When people kept watching his movies what did Red do?	opened another movie store	50.0	['otro', 'almacenar']	1

2456	Why hizo ellos tener para cavar?	It fue demasiado estrecho. Para que se vayan en.	Why did they have to dig?	It was too narrow.for them to go in.	87.5	['para', 'estrecho', 'se', 'vayan', 'demasiado', 'fue', 'que', 'en']	2

2457	qué happened in 1158?	Munich was first mencionado	what happened in 1158?	Munich was first mentioned	25.0	['mencionado']	0

2458	Por qué no immediately?	When she Llegué a nadie was there?	Why not immediately?	When she got there no one was there?	50.0	['nadie', 'a', 'llegué']	1

2459	qué es especial about ¿él?	tiene un tambaleante para las piernas	what is special about it?	it has a leg-rest	100.0	['para', 'piernas', 'tambaleante', 'las', 'un', 'tiene']	2

2460	How alto will it get?	12 feet higher than flood stage	How high will it get?	12 feet higher than flood stage	0.0	[]	0

2461	Why era it como ¿eso?	allá en realidad aren't enough maestros	Why was it like that?	there really aren't enough teachers	60.0	['realidad', 'en', 'maestros', 'allá']	1

2462	¿Cómo son los tratados? similar a contratos?	Ambos son medios de Partes dispuestas asumiendo obligaciones entre ellos, y una fiesta para que no vivir arriba a sus obligaciones puede ser considerado responsable bajo internacional law.	How are treaties similar to contracts?	Both are means of willing parties assuming obligations among themselves, and a party to either that fails to live up to their obligations can be held liable under international law.	96.67	['no', 'bajo', 'considerado', 'medios', 'a', 'vivir', 'internacional', 'partes', 'que', 'obligaciones', 'asumiendo', 'ellos', 'puede', 'arriba', 'responsable', 'para', 'sus', 'ambos', 'dispuestas', 'de', 'una', 'son', 'entre', 'fiesta', 'ser', 'y']	2

2463	When was it renamed Kingston?	After the British conquistado New France	When was it renamed Kingston?	After the British conquered New France	16.67	['conquistado']	0

2464	how hace she sentir about the de su taste?	That he was lejos de tener any.	how does she feel about the matter of his taste?	That he was far from having any.	42.86	['tener', 'lejos', 'de']	1

2465	Cuánto es ¿eso?	una milésima parte de un dolla	How much is that?	one-thousandth of a dolla	75.0	['parte', 'un', 'de', 'milésima', 'una']	2

2466	were there other clubs?	two or tres	were there other clubs?	two or three	33.33	['tres']	0

2467	How did ellos fix ¿él?	empujado on el window	How did they fix it?	pushed on the window	50.0	['empujado', 'el']	1

2468	Qué la escuela es he asistir?	Indiana Universidad de la Universidad de la Universidad de Indianápolis	What school is he attending?	Indiana University-Purdue University Indianapolis	100.0	['indiana', 'la', 'indianápolis', 'universidad', 'de']	2

2469	Where did they return ¿después?	the Lake of Oscuridad	Where did they return after that?	the Lake of Shadows	25.0	['oscuridad']	0

2470	¿Qué nueva tecnología hizo? he help desarrollar China?	primero artificial satellite	What new technology did he help develop in China?	first man-made satellite	66.67	['artificial', 'primero']	1

2471	Qué es significativo sobre eso?	primero Navidad sin Abuelo	What is significant about it?	first Christmas without Grandfather	100.0	['abuelo', 'primero', 'navidad', 'sin']	2

2472	Que loaded their carriage?	the vetturino y his men	Who loaded their carriage?	the vetturino and his men	20.0	['y']	0

2473	Qué son they?	reins y espuelas	What are they?	reins and spurs	66.67	['y', 'espuelas']	1

2474	Qué son ¿ellos?	cabeza, tórax y abdomen	What are they?	head, thorax and abdomen	100.0	['y', 'abdomen', 'tórax', 'cabeza']	2

2475	Were the partidos postponed?	because parent fans were swearing or incluso fighting on the touchline	Were the matches postponed?	because parent fans were swearing or even fighting on the touchline	9.09	['incluso']	0

2476	Por qué did él hacer that?	he Estaba celoso	Why did he do that?	he was jealous	66.67	['celoso', 'estaba']	1

2477	Que Tony ¿planta?	flores y árboles	What does Tony plant?	flowers and trees	100.0	['y', 'flores', 'árboles']	2

2478	How was it received by los críticos?	it brought her to their attention	How was it received by the critics?	it brought her to their attention	0.0	[]	0

2479	Que hizo she do?	She tomó a él to Señor. Grumpy's puerta	What did she do?	She took him to Mr. Grumpy's door	57.14	['tomó', 'a', 'él', 'puerta', 'señor']	1

2480	What hizo él ver en la piscina?	a niña	What did he see in the pool?	a little girl	100.0	['a', 'niña']	2

2481	What era Winkler sent a jail for?	killing her minister husband	What was Winkler sent to jail for?	killing her minister husband	0.0	[]	0

2482	How viejo is ¿él?	16 años old	How old is he?	16 years old	66.67	['años', '16']	1
